"Temperature","Cooling Rate","Max Temperature Change","Nb Iteration","Total Solutions","Fitness Average","Ecart Type","Total Truck","Min Fitness","Max Fitness"
"5.0","0.95","100","50000","5","368.4576745180931","7.835543793736476","3.0","359.71866869504373","381.7771762913729"
"5.0","0.95","200","50000","5","379.3574381529289","13.092511521257725","3.0","365.5104371465133","401.9347815178593"
"4.0","0.95","100","50000","5","377.7501920601016","14.770548321741888","3.0","361.4588369068987","405.31423688294836"
"5.0","0.95","100","100000","5","367.72964260257305","2.9505527629632042","3.0","363.3302984917281","370.6462168975538"
"0.5","0.9","100","50000","5","378.3019972317983","1.2540618841297888","3.0","376.3411938338962","379.8632516899223"
"5.0","0.7","100","100000","5","371.6756225207374","13.727479598800244","3.0","359.7186686950438","398.3127223931659"
"3.0","0.95","100","50000","5","375.8782492226334","19.131988262057746","3.0","361.3953320750662","411.8523376824361"
"5.0","0.96","100","100000","5","365.08893904514406","5.288587407295574","3.0","359.71866869504373","372.03084244635113"
"5.0","0.96","100","20000","5","380.60321061640815","23.015772963504066","3.0","359.71866869504373","415.19846252878"
"5.0","0.96","100","200000","5","377.8579774943173","19.362109499777965","3.0","361.4588369068987","415.8821519821704"
"6.0","0.96","100","100000","5","375.0469551005746","4.162294069904025","3.0","370.47042059448256","380.5153794935713"
"4.5","0.96","100","100000","5","363.73891656696674","4.069570051056143","3.0","359.7186686950438","370.64621689755376"
"4.3","0.96","100","100000","5","366.92340467431103","4.488230635432304","3.0","361.3953320750662","370.6462168975538"
"4.4","0.96","100","100000","5","370.40640042862725","5.648926535619594","3.0","361.4588369068987","379.0328357896647"
"4.5","0.96","100","100000","5","378.55697805993475","14.633413619386761","3.0","369.27183923861264","407.68647907751165"
"5.0","0.95","100","50000","5","368.55609566016574","7.463063045921993","3.0","363.2736828145826","383.3827945246509"
"5.0","0.9","100","50000","5","377.4123821529428","17.94531269169113","3.0","359.71866869504373","412.064330299936"
"5.0","0.98","100","50000","5","371.47830592585785","9.23002390721859","3.0","361.3953320750662","383.37576425619943"
